Journal,ISSN,CN,Publisher,Frequency,Language,Founded,Discipline,SubDiscipline,IF_Composite,IF_Comprehensive,CSCD_Core,CSCD_Extended,PKU_Core,CSSCI,CSSCI_Extended,AMI_Authority,AMI_Core,AMI_Extended,AMI_Archive,SCI_Indexed,EI_Indexed,CSTPCD,Index_Labels
农村工作通讯,0546-9503,11-1617/F,中国农村杂志社,半月,中文,1956.0,经济与管理科学,农业经济,,,,,,,,,,,,,,,
山东经济战略研究,1003-9589,37-1050/F,山东省究州大统矿业有限公司,月刊,中文,1984.0,经济与管理科学,经济体制改革,,,False,False,False,False,False,False,False,False,True,False,False,False,
山东国资,2096-4757,37-1513/F,大众报业集团(大众日报社);山东国惠投资有限公司,月刊,中文,2017.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
山东对外经贸,,37-1217/F,山东省对外经济贸易委员会,月刊,中文,1984.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
散装水泥,1007-3922,23-1502/TU,黑龙江省散装水泥办公室,双月,中文,1985.0,经济与管理科学;工程科技I,无机化工;工业经济,,,,,,,,,,,,,,,
Science Foundation in China,1005-0841,11-2851/N,国家自然科学基金委员会,季刊,英文,1993.0,经济与管理科学;基础科学,自然科学理论与方法;科学研究管理,,,False,False,False,False,False,False,False,False,False,False,False,False,
软件和集成电路,2096-062X,10-1339/TN,中国电子信息产业发展研究院;赛迪工业和信息化研究院(集团)有限公司,月刊,中文,1984.0,经济与管理科学;信息科技,计算机软件及计算机应用;信息经济与邮政经济,,,,,,,,,,,,,,,
人力资源管理评论,,,南京大学商学院,半年,中文,2010.0,,,,,,,,,,,,,,,,,
人力资源管理,1673-8209,15-1346/F,内蒙古日报社,月刊,中文,2006.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
区域治理,2096-4595,14-1394/D,山西社会科学报刊社,周刊,中文,2017.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
企业史评论,,,中国政法大学商学院,半年,中文,2020.0,,,,,,,,,,,,,,,,,
企业家天地(理论版),1003-8434,43-1027/F,湖南省社会科学院,月刊,中文,1985.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
企业家天地(下半月刊),1003-8434,43-1027/F,湖南省社会科学院,月刊,中文,1984.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
企业文明,1006-5989,50-1014/G2,中央企业党建思想政治工作研究会;中国兵器工业思想政治工作研究会;中国机械工业职工思想政治工作研究会西南兵工局,月刊,中文,1986.0,经济与管理科学,企业经济,,,False,False,False,False,False,False,False,False,True,False,False,False,
企业文化,1003-5400,23-1305/G2,黑龙江省作家协会,旬刊,中文,1989.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
企业天地,1671-0363,45-1284/F,中共广西壮族自治区企业工作委员会,月刊,中文,2001.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
企业技术开发,1006-8937,43-1172/TB,湖南省科技信息研究所,月刊,中文,1982.0,经济与管理科学,企业经济,,,False,False,False,False,False,False,False,False,False,False,False,False,
企业合规论丛,,,华东师范大学企业合规研究中心,半年,中文,2018.0,,,,,,,,,,,,,,,,,
企业观察家,2095-1620,41-1418/F,河南能源化工集团有限公司,月刊,中文,2011.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
企业导报,1671-1599,42-1616/F,湖北省社会科学院,半月,中文,2000.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
商学院,1672-7614,11-5207/F,中国社会科学院工业经济研究所,月刊,中文,2004.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
商务周刊,1009-4865,35-1242/F,厦门经济特区经济研究所;厦门信息信达总公司,半月,中文,2000.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
商情(教育经济研究),1673-4041,13-1370/F,河北省消费时尚文化传播中心,月刊,中文,2007.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
商情(财经研究),1673-4041,13-1370/F,河北省消费时尚文化传播中心,月刊,中文,2007.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
商品与质量,1006-656X,11-3669/T,中国保护消费者基金会,周刊,中文,1994.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
商界(评论),1008-1313,50-1007/F,商界杂志社,月刊,中文,2005.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
上海市经济学会学术年刊,,,上海市经济学会,,中文,,,,,,,,,,,,,,,,,,
上海市经济管理干部学院学报,1672-3988,31-1913/Z,上海市经济管理干部学院,双月,中文,2003.0,经济与管理科学,经济与管理综合,,,False,False,False,False,False,False,False,False,True,False,False,False,
上海综合经济,1005-2240,31-1305/F,上海市综合经济研究所,月刊,中文,1987.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
上海质量,1004-7816,31-1061/F,上海质量管理科学研究院;上海质量协会,月刊,中文,1983.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
上海信息化,1672-8424,31-1934/TP,上海市经济和信息化发展研究中心,月刊,中文,2004.0,经济与管理科学;信息科技,互联网技术;信息经济与邮政经济,,,,,,,,,,,,,,,
上海轻工业,1004-3772,31-1439/TS,上海轻工控股(集团)公司,双月,中文,1971.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
上海会计,1007-5135,31-1176/F,上海市会计学会,月刊,中文,1979.0,经济与管理科学,会计,,,,,,,,,,,,,,,
上海国资,1008-6560,31-1786/F,上海人民出版社有限责任公司,月刊,中文,1999.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
上海工业,1006-8546,31-1882/T,上海市经济委会;上海市工业技术发展中心,月刊,中文,1988.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
上海财税,,31-1227/F,上海市财政局;上海市税务局,月刊,中文,1982.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
商周刊,1674-4004,37-1463/F,青岛出版社,双周,中文,2001.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
商,1009-9808,51-1019/F,科幻世界杂志社,周刊,中文,,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
山东审计,1002-3534,37-1052/F,山东省审计厅,月刊,中文,1987.0,经济与管理科学,审计,,,,,,,,,,,,,,,
山东人力资源和社会保障,1004-6380,37-1474/F,大众报业集团(大众日报社),月刊,中文,1992.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
市场研究,1672-4216,41-1348/C,河南省统计信息咨询中心,月刊,中文,1953.0,经济与管理科学,市场研究与信息;贸易经济,,,,,,,,,,,,,,,
市场瞭望(上半月),1007-0419,35-1188/F,福建省广播影视集团,月刊,中文,1996.0,经济与管理科学,市场研究与信息,,,,,,,,,,,,,,,
市场瞭望,1007-0419,35-1188/F,福建日报社(福建日报报业集团),半月,中文,1994.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
市场经济研究,1004-9266,64-1026/F,宁夏计划委员会,双月,中文,1998.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
市场监督管理,2096-6563,10-1618/F2,国家工商行政管理总局;中国工商出版社,半月,中文,1953.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
审计理论与实践,1002-3739,11-1118/F,北京;天津;辽宁审计学会;审计科研所,月刊,中文,1984.0,经济与管理科学,审计,,,,,,,,,,,,,,,
生态经济(学术版),1671-4407,53-1193/F,云南教育出版社有限责任公司,半年,中文,2006.0,经济与管理科学,农业经济,,,,,,,,,,,,,,,
生态经济评论,,,贵州省高校人文社科基地中国西部发展能力研究中心,半年,中文,2010.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
声屏世界·广告人,1006-3366,,中国广告协会报纸委员会;中国广告协会电视委员会,月刊,中文,1987.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
社会保障问题研究,,,武汉大学社会保障研究中心,年刊,中文,2001.0,,,,,,,,,,,,,,,,,
设备监理,2095-2465,10-1021/TB,中国特种设备检测研究院;中国设备监理协会,双月,中文,2011.0,经济与管理科学;工程科技II,机械工业;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
山西经济管理干部学院学报,1008-9101,14-1245/F,山西经济管理干部学院,季刊,中文,1999.0,经济与管理科学,经济与管理综合,,,False,False,False,False,False,False,False,True,False,False,False,False,
山西财政税务专科学校学报,1008-9306,14-1230/F,山西省财政税务专科学校,双月,中文,1999.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
山西财税,2096-6970,14-1011/F,山西省财政科学研究院;山西省财政学会,月刊,中文,1980.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
商用汽车,1009-4903,11-4390/TH,北京卓众出版有限公司,双月,中文,1981.0,经济与管理科学;工程科技II,汽车工业;工业经济,,,,,,,,,,,,,,,
商业文化(下半月),1006-4117,11-3456/G0,中国商业文化研究会,月刊,中文,2007.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
商业文化,1006-4117,11-3456/G0,中国商业文化研究会,旬刊,中文,1994.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
商业观察,2096-0808,10-1356/F,全国服务科技信息中心;中国商业股份制企业经济联合会,旬刊,中文,2015.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
商业2.0,2097-2903,41-1406/F,河南销售与市场杂志社有限公司,旬刊,中文,2009.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
农业发展与金融,1006-690X,11-3635/D,中国农业发展银行工会工作委员会,月刊,中文,1995.0,经济与管理科学,金融,,,,,,,,,,,,,,,
旅游学研究,,,江苏省旅游学会,,中文,,,,,,,,,,,,,,,,,,
会计之友(中旬刊),1004-5937,14-1063/F,山西省社会科学院,旬刊,中文,1983.0,经济与管理科学,会计,,,,,,,,,,,,,,,
决策,1005-5940,34-1285/C,安徽省人民政府发展研究中心,月刊,中文,1993.0,经济与管理科学,领导学与决策学,,,False,False,False,False,False,False,False,True,False,False,False,False,
机械工业信息与网络,1672-481X,11-4867/TH,中国机械工业联合会,双月,中文,2003.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
集团经济研究,1007-712X,32-1335/F,中国集团公司促进会,旬刊,中文,1989.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
技术与市场(园林工程),1006-8554,51-1450/T,四川省科技信息研究所,月刊,中文,1995.0,经济与管理科学;工程科技II,建筑科学与工程;市场研究与信息,,,,,,,,,,,,,,,
技术监督实用技术,1004-9150,34-1108/T,中国技术监督情报协会,双月,中文,1990.0,经济与管理科学;工程科技II,工业通用技术及设备;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
机器人产业,2096-0182,10-1324/TP,中国电子信息产业发展研究院;赛迪工业和信息化研究院(集团)有限公司,双月,中文,2015.0,经济与管理科学;信息科技,自动化技术;工业经济,,,,,,,,,,,,,,,
晋商研究,,,山西财经大学晋商研究院,年刊,中文,2008.0,,,,,,,,,,,,,,,,,
金融学季刊,,,中国金融学年会;中山大学岭南学院,季刊,中文,2004.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
金融与社会,,,中央财经大学社会与心理学院,年刊,中文,2020.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
金融文坛,2096-1960,21-1597/F,辽宁北方期刊出版集团有限公司;东北财经大学出版社有限责任公司,月刊,中文,2015.0,经济与管理科学,金融,,,,,,,,,,,,,,,
金融科学,,,对外经济贸易大学金融学院,半年,中文,1988.0,,,,,,,,,,,,,,,,,
金融客,2095-8625,31-2105/F,上海世纪出版社股份有限公司远东出版社,月刊,中文,2015.0,经济与管理科学,金融,,,,,,,,,,,,,,,
金融经济(宁夏),,64-1027/F,中国农业银行宁夏分行,双月,中文,1983.0,经济与管理科学,金融,,,,,,,,,,,,,,,
金融管理研究,,,上海师范大学商学院,半年,中文,2013.0,,,,,,,,,,,,,,,,,
金融发展,2096-7160,31-2142/F,上海社会科学院出版社有限公司,半年,中文,2018.0,经济与管理科学,金融,,,False,False,False,False,False,False,False,False,False,False,False,False,
金融电子化,1008-0880,11-3563/TN,中国金融电子化集团有限公司,月刊,中文,1993.0,经济与管理科学;信息科技,无线电电子学;金融,,,,,,,,,,,,,,,
金融博览(财富),1673-4882,11-5428/F,中国金融出版社,月刊,中文,2007.0,经济与管理科学,金融,,,,,,,,,,,,,,,
金融博览,1673-4882,11-5428/F,中国金融出版社,月刊,中文,1996.0,经济与管理科学,金融,,,,,,,,,,,,,,,
今日浙江,1008-0260,33-1213/D,中共浙江省委,半月,中文,1992.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
今日国土,1671-9158,11-4757/N,中国国土经济学会,月刊,中文,2002.0,经济与管理科学;基础科学,资源科学;农业经济,,,,,,,,,,,,,,,
今日工程机械,1671-9018,11-4814/TH,北京卓众出版有限公司,双月,中文,2002.0,经济与管理科学;工程科技II,机械工业;工业经济,,,,,,,,,,,,,,,
会计之友(下旬刊),1004-5937,14-1063/F,山西省社会科学院,旬刊,中文,1983.0,经济与管理科学,会计,,,,,,,,,,,,,,,
会计与控制评论,,,东北财经大学会计学院;中国内部控制研究中心,半年,中文;英文,2011.0,,,,,,,,,,,,,,,,,
会计论坛,,,中南财经政法大学会计研究所,半年,中文,2002.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
空运商务,1671-3095,11-4684/F,中国民航管理干部学院,月刊,中文,2001.0,经济与管理科学,交通运输经济,,,,,,,,,,,,,,,
科学新闻,1671-6582,11-5553/C,中国科学报社,双月,中文,1999.0,经济与管理科学,科学研究管理,,,,,,,,,,,,,,,
科学投资,1006-9208,11-3562/F,中国进出口商品检验技术研究所,月刊,中文,1995.0,经济与管理科学,投资,,,,,,,,,,,,,,,
科协论坛,1007-3973,42-1341/G3,中国科协,月刊,中文,1986.0,经济与管理科学,科学研究管理,,,,,,,,,,,,,,,
科教发展研究,2097-0218,33-1420/G4,浙江大学,季刊,中文,2021.0,经济与管理科学;社会科学II,教育理论与教育管理;科学研究管理,,,False,False,False,False,False,False,False,False,False,False,False,False,
科技中国,1673-5129,11-5262/N,中国科学技术发展战略研究院,月刊,中文,1996.0,经济与管理科学;基础科学,基础科学综合;科学研究管理,,,False,False,False,False,False,False,False,False,True,False,False,False,
科技与企业,1004-9207,11-3096/N,中国科普作家协会,半月,中文,1992.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
科技期刊发展与导向,,,上海市科技期刊学会,年刊,中文,1998.0,,,,,,,,,,,,,,,,,
科技创业,1671-3265,31-1861/N,上海科学技术文献出版社有限公司,月刊,中文,2010.0,经济与管理科学;基础科学,基础科学综合;科学研究管理,,,,,,,,,,,,,,,
科技创新案例与研究,,,江苏省科技创新协会,年刊,中文,2021.0,,,,,,,,,,,,,,,,,
可持续发展经济导刊,2096-6520,10-1603/F7,中国国际经济技术交流中心,月刊,中文,2002.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
开放经济研究,,,广东外语外贸大学经济贸易学院,年刊,中文,2018.0,,,,,,,,,,,,,,,,,
开放潮,1006-6098,35-1181/F,福建省出版总社,月刊,中文,1993.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
决策与信息(财经观察),1002-8129,42-1128/C,武汉决策信息研究开发中心,月刊,中文,2005.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
决策探索(下),1003-5419,41-1009/C,河南省人民政府发展研究中心,月刊,中文,1985.0,经济与管理科学,领导学与决策学,,,,,,,,,,,,,,,
决策探索(上),1003-5419,41-1009/C,河南省人民政府发展研究中心,月刊,中文,1985.0,经济与管理科学,领导学与决策学,,,,,,,,,,,,,,,
决策科学,2097-129X,41-1462/C,中共河南省委党校;河南行政学院,季刊,中文,2022.0,经济与管理科学,领导学与决策学,,,,,,,,,,,,,,,
旅游与摄影,2096-4420,10-1516/J,北京卓众出版有限公司;北京科学技术期刊学会,半月,中文,2018.0,,,,,,,,,,,,,,,,,
旅游规划与设计,,,北京大学旅游研究与规划中心,季刊,中文,2010.0,,,,,,,,,,,,,,,,,
绿色中国,1672-7789,11-5228/S,国家林业和草原局宣传中心,半月,中文,2004.0,经济与管理科学;农业科技,林业;农业经济,,,,,,,,,,,,,,,
绿色环保建材,1673-6680,10-1213/TU,中国建材工业出版社,月刊,中文,2014.0,经济与管理科学;工程科技II,建筑科学与工程;工业经济,,,,,,,,,,,,,,,
珞珈管理评论,,,武汉大学经济与管理学院,双月,中文,2007.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
林业与社会,1005-3646,11-3364/S,中国林业科学院科技信息研究所,季刊,中文,1993.0,经济与管理科学;农业科技,林业;农业经济,,,,,,,,,,,,,,,
林业经济评论,,,中国林业经济学会;北京林业大学经济管理学院;中国人民大学农业与农村发展学院,半年,中文,2011.0,,,,,,,,,,,,,,,,,
领导之友,1671-198X,13-1311/D,中共河北省委党校,半月,中文,1985.0,经济与管理科学,领导学与决策学,,,,,,,,,,,,,,,
领导文萃,1005-720X,35-1168/D,中共福建省委党校;省领导科学研究会,半月,中文,1992.0,经济与管理科学;社会科学II,人才学与劳动科学;领导学与决策学,,,,,,,,,,,,,,,
领导决策信息,1673-9256,11-4114/D,首都科学决策研究会,周刊,中文,1994.0,经济与管理科学,领导学与决策学,,,,,,,,,,,,,,,
林草政策研究,2096-9546,10-1728/S,中国林业科学研究院林业科技信息研究所,季刊,中文,2021.0,经济与管理科学;农业科技,林业;农业经济,,,False,False,False,False,False,False,False,False,False,False,False,False,
理财周刊,1009-9832,31-1849/F,上海世纪出版股份有限公司,周刊,中文,2001.0,,,,,,,,,,,,,,,,,
理财,1673-1107,41-1370/F,河南省审计科学研究所,月刊,中文,1985.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
辽宁税务高等专科学校学报,1008-2859,21-1400/F,辽宁税务高等专科学校,双月,中文,1989.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
辽宁财税,1007-2675,21-1366/F,辽宁省财政厅;辽宁省地税局,月刊,中文,1983.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
粮食流通技术,1007-3582,41-1241/TS,国家粮食储备局郑州科学研究设计院,双月,中文,1994.0,经济与管理科学;工程科技I,轻工业手工业;农业经济,,,,,,,,,,,,,,,
粮食经济研究,,,南京财经大学粮食安全与战略研究中心；南京财经大学现代粮食流通与安全协同创新中心,半年,中文,2015.0,,,,,,,,,,,,,,,,,
劳动经济评论,,,山东大学劳动经济与人力资源研究中心,半年,中文,2008.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
劳动保障世界,1007-7243,22-1354/F,吉林省人力资源和社会保障管理局,旬刊,中文,1989.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
跨文化管理,,,经济管理出版社,半年,中文,2012.0,,,,,,,,,,,,,,,,,
农村财务会计,1002-5588,11-1069/F,中国农村杂志社,月刊,中文,1958.0,经济与管理科学,会计,,,,,,,,,,,,,,,
宁波经济(财经视点),1007-5259,33-1159/F,宁波日报报业集团,月刊,中文,1993.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
能源技术经济,1674-8441,11-5917/TK,国网能源研究院;湖南省电力公司;中国电力财务有限公司,月刊,中文,1988.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
能源基地建设,,14-1081,中国能源基地研究会;煤炭部规划发展司;国家计委技术研究所;山西省社会科学院,双月,中文,1987.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
能源,1674-4683,13-1392/TK,华北电力大学,月刊,中文,2008.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
内蒙古质量技术监督,1008-0228,15-1137/T,内蒙古自治区技术监督局,双月,中文,1984.0,经济与管理科学;工程科技II,工业通用技术及设备;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
内蒙古经济管理干部学院学报,1008-8253,15-1198/F,内蒙古经济管理干部学院,季刊,中文,1999.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
内蒙古财会,,15-1087/F,内蒙古财会杂志社,月刊,中文,1988.0,经济与管理科学,会计,,,,,,,,,,,,,,,
内蒙古保险,1006-5717,15-1178/F,内蒙古保险学会,双月,中文,1988.0,经济与管理科学,保险,,,,,,,,,,,,,,,
纳税,1674-0920,53-1208/F,云南出版融媒体有限责任公司,旬刊,中文,2007.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
南京金融高等专科学校学报,1009-0606,32-5029/F,南京金融高等专科学校,季刊,中文,1984.0,经济与管理科学,金融,,,,,,,,,,,,,,,
南方自然资源,2097-1451,45-1412/P,广西壮族自治区自然资源宣传中心,月刊,中文,1984.0,经济与管理科学;基础科学,资源科学;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
南方企业家,1672-089X,44-1578/F,广东省企业家协会;广东省企业联合会,月刊,中文,1981.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
南大商学评论,,,南京大学长江三角洲经济社会发展研究中心;南京大学经济转型和发展研究中心;南京大学商学院,季刊,中文,2004.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
秘书之友,1004-3071,62-1018/C,兰州大学,月刊,中文,1984.0,经济与管理科学,管理学,,,False,False,False,False,False,False,False,False,True,False,False,False,
秘书,1674-2354,31-1062/C,上海大学,双月,中文,1983.0,经济与管理科学,管理学,,,False,False,False,False,False,False,False,False,True,False,False,False,
民生周刊,2095-1213,11-5987/D,人民日报社,双周,中文,2010.0,,,,,,,,,,,,,,,,,
煤炭经济管理新论,,,中国煤炭学会经济管理专业委员会,年刊,中文,2002.0,,,,,,,,,,,,,,,,,
媒介批评,,,北京师范大学新闻传播学院;辽宁大学新闻与传播学院;陕西师范大学新闻与传播学院;中国青年政治学院中文系;广西艺术学院美术学院,半年,中文,2005.0,,,,,,,,,,,,,,,,,
今日财富(金融发展与监管),1009-8585,15-1211/F,内蒙古新华报社中心,月刊,中文,1985.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
经济视角(下旬刊),1672-3309,22-1225/F,吉林大学,月刊,中文,2005.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
Journal of WTO and China,1674-8395,11-5907/F,对外经济贸易大学,季刊,中文;英文,2010.0,经济与管理科学,贸易经济,,,False,False,False,False,False,False,False,False,False,False,False,False,
航空财会,2096-6857,10-1612/F2,中航出版传媒有限责任公司,双月,中文,2019.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
河南税务,1007-6085,41-1238/F,河南省国家税务局;河南省地方税务局,半月,中文,1987.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
河南农业,1006-950X,41-1171/S,河南省农业科学技术展览馆,旬刊,中文,1990.0,经济与管理科学;农业科技,农业经济;农业综合,,,,,,,,,,,,,,,
河南牧业经济学院学报,2096-2452,41-1440/F,河南牧业经济学院,双月,中文,1988.0,经济与管理科学;社会科学II,社会科学理论与方法;经济与管理综合,,,False,False,False,False,False,False,False,False,True,False,False,False,
河南林业,1003-0689,41-1088/S,河南省林业厅;河南省绿化委员会,双月,中文,1960.0,经济与管理科学;农业科技,林业;农业经济,,,,,,,,,,,,,,,
河南财政税务高等专科学校学报,1008-5793,41-1267/F,河南财政税务高等专科学校,双月,中文,1987.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
黑龙江人力资源和社会保障,2095-168X,23-1574/F,黑龙江省人力资源和社会保障信息中心,半月,中文,1982.0,经济与管理科学;社会科学I,行政学及国家行政管理;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
黑龙江财会,1002-2449,23-1026/F,黑龙江省财政厅,月刊,中文,1980.0,经济与管理科学,会计,,,,,,,,,,,,,,,
核标准计量与质量,1673-453X,11-2969/TL,核工业标准化研究所,季刊,中文,1987.0,经济与管理科学;工程科技II,核科学技术;工业经济,,,,,,,,,,,,,,,
河北审计,1006-5393,13-1053/F,河北省审计厅,月刊,中文,1984.0,经济与管理科学,审计,,,,,,,,,,,,,,,
河北林业,1007-404X,13-1087/S,河北省木兰围场国有林场管理局,月刊,中文,1983.0,经济与管理科学;农业科技,林业;农业经济,,,,,,,,,,,,,,,
杭州金融研修学院学报,1671-3087,33-1270/F,中国工商银行杭州金融研修学院,月刊,中文,1986.0,经济与管理科学,金融,,,,,,,,,,,,,,,
航空港,1006-7310,31-1597/U,上海机场(集团)有限公司,双月,中文,1988.0,,,,,,,,,,,,,,,,,
海洋史研究,,,广东省社会科学院海洋史研究中心,半年,中文,2010.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
海外投资与出口信贷,2095-8285,10-1246/F,中国进出口银行;中国金融出版社有限公司,双月,中文,2004.0,经济与管理科学,宏观经济管理与可持续发展,,,False,False,False,False,False,False,False,False,True,False,False,False,
海派经济学,,,中国政治经济学学会;上海财经大学海派经济学研究院;上海对外经贸大学马克思主义学院,季刊,中文,2003.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
海关法评论,,,上海市法学会海关法研究会;上海海关学院海关法研究中心,年刊,中文,2010.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
股市动态分析,1671-0401,44-1524/F,综合开发研究院(中国·深圳)股份制经济与证券市场研究所,双周,中文,1990.0,经济与管理科学,证券,,,,,,,,,,,,,,,
国资报告,1000-968X,10-1301/F,国资委新闻中心;中国经济出版社,月刊,中文,2014.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
国有资产研究,1004-8162,11-3135/F,中国国有资产管理学会;国家国有资产管理局科学研究所,双月,中文,1993.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
Innovation and Development Policy,2096-5141,10-1513/D,中国科学院科技战略咨询研究院;中国科学学与科技政策研究会,半年,英文,2019.0,经济与管理科学,科学研究管理,,,,,,,,,,,,,,,
IT时代周刊,1672-5247,44-1593/TN,广东省电子学会,月刊,中文,2001.0,经济与管理科学;信息科技,信息经济与邮政经济;电子信息科学综合,,,,,,,,,,,,,,,
IT经理世界,1007-9440,11-3928/TN,信息产业部电子科技情报研究所,半月,中文,1998.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
湖湘三农论坛,,,湖南省社会主义新农村建设促进会；中国社会科学院农村发展研究所,年刊,中文,2008.0,,,,,,,,,,,,,,,,,
活力,1007-6263,23-1012/F,黑龙江日报报业集团,半月,中文,1986.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
湖南省县域经济发展报告,,,湖南省农村发展研究院,年刊,中文,2008.0,,,,,,,,,,,,,,,,,
湖南税务高等专科学校学报,1008-4614,43-1282/F,湖南税务高等专科学校,双月,中文,1988.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
湖南经济管理干部学院学报,1008-939X,43-1305/F,湖南经济管理干部学院,双月,中文,1989.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
湖南经济,1004-2741,43-1023/F,湖南省人民政府办公厅;省机关事务管理局,月刊,中文,1983.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
互联网周刊,1007-9769,11-3925/TP,中国科技出版传媒股份有限公司,半月,中文,1998.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
沪港经济,1005-3670,31-1046/F,沪港经济发展协会,月刊,中文,1985.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
湖北农村金融研究,1003-7101,42-1004/F,中国农业银行湖北省分行;湖北省农村金融学会,月刊,中文,1980.0,经济与管理科学,金融,,,,,,,,,,,,,,,
湖北电业,,42-1703/D,湖北省电力公司,双月,中文,1972.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
湖北财经高等专科学校学报,1009-170X,42-1444/F,湖北财经高等专科学校,双月,中文,1989.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
