Journal,ISSN,CN,Publisher,Frequency,Language,Founded,Discipline,SubDiscipline,IF_Composite,IF_Comprehensive,CSCD_Core,CSCD_Extended,PKU_Core,CSSCI,CSSCI_Extended,AMI_Authority,AMI_Core,AMI_Extended,AMI_Archive,SCI_Indexed,EI_Indexed,CSTPCD,Index_Labels
水利水运工程学报,1009-640X,32-1613/TV,水利部;交通运输部;南京水利科学研究院;国家能源局,双月,中文,1979.0,工程科技II,水利水电工程,1.896,1.338,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
东南大学学报(自然科学版),1001-0505,32-1178/N,东南大学,双月,中文,1955.0,工程科技II,综合科技B类综合,1.912,1.145,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
铁道标准设计,1004-2954,11-2987/U,中铁工程设计咨询集团有限公司,月刊,中文,1957.0,工程科技II,公路与水路运输;铁路运输,1.916,1.325,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
中南大学学报(自然科学版),1672-7207,43-1426/N,中南大学,月刊,中文,1956.0,工程科技II,综合科技B类综合,1.923,1.389,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
江苏大学学报(自然科学版),1671-7775,32-1668/N,江苏大学,双月,中文,1980.0,工程科技II,综合科技B类综合,1.927,1.291,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
华中科技大学学报(自然科学版),1671-4512,42-1658/N,华中科技大学,月刊,中文,1973.0,工程科技II,综合科技B类综合,1.941,1.097,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
泥沙研究,0468-155X,11-2532/TV,中国水利学会,双月,中文,1956.0,工程科技II;基础科学,地球物理学;水利水电工程,1.957,1.304,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
地下空间与工程学报,1673-0836,50-1169/TU,中国岩石力学与工程学会;重庆大学,双月,中文,1981.0,工程科技II,建筑科学与工程,1.961,1.346,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
公路交通科技,1002-0268,11-2279/U,交通运输部公路科学研究所,月刊,中文,1984.0,工程科技II,公路与水路运输,1.98,1.278,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
压力容器,1001-4837,34-1058/TH,中国机械工程学会;压力容器分会,月刊,中文,1984.0,工程科技II,动力工程;机械工业,1.982,1.817,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
振动工程学报,1004-4523,32-1349/TB,中国振动工程学会,双月,中文,1987.0,工程科技II,工业通用技术及设备,1.983,1.222,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
人民长江,1001-4179,42-1202/TV,水利部长江水利委员会,月刊,中文,1955.0,工程科技II,水利水电工程,1.716,1.231,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
内燃机学报,1000-0909,12-1086/TK,中国内燃机学会,双月,中文,1983.0,工程科技II,动力工程,1.722,1.125,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
西安理工大学学报,1006-4710,61-1294/N,西安理工大学,季刊,中文,1978.0,工程科技II,综合科技B类综合,1.723,0.955,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
爆破,1001-487X,42-1164/TJ,武汉理工大学,季刊,中文,1984.0,工程科技II,武器工业与军事技术,1.73,1.377,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
天津大学学报(自然科学与工程技术版),0493-2137,12-1127/N,天津大学,月刊,中文,1955.0,工程科技II,综合科技B类综合,1.736,1.064,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
长沙理工大学学报(自然科学版),1672-9331,43-1444/N,长沙理工大学,双月,中文,1988.0,工程科技II,综合科技B类综合,1.743,1.202,False,False,False,False,False,False,False,False,False,False,False,False,
航空科学技术,1007-5453,11-3089/V,中国航空研究院,月刊,中文,1989.0,工程科技II,航空航天科学与工程,1.751,1.458,,,,,,,,,,,,,
中国惯性技术学报,1005-6734,12-1222/O3,中国惯性技术学会;天津航海仪器研究所,月刊,中文,1989.0,工程科技II,航空航天科学与工程,1.763,1.353,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
导航定位与授时,2095-8110,10-1226/V,北京自动化控制设备研究所;中国宇航出版有限责任公司,双月,中文,2014.0,工程科技II,航空航天科学与工程,1.767,0.967,False,True,False,False,False,False,False,False,False,False,False,False,CSCD扩展版
Nuclear Science and Techniques,1001-8042,31-1559/TL,中国科学院上海应用物理研究所;中国核学会,月刊,英文,1989.0,工程科技II,核科学技术,1.773,1.606,True,False,False,False,False,False,False,False,False,True,True,False,SCI; EI; CSCD
机械科学与技术,1003-8728,61-1114/TH,西北工业大学,月刊,中文,1981.0,工程科技II,机械工业,1.777,1.025,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
城市交通,1672-5328,11-5141/U,中国城市规划设计研究院,双月,中文,2003.0,工程科技II,公路与水路运输,1.777,1.065,False,False,False,False,False,False,False,False,False,False,False,False,
水利水电技术(中英文),1000-0860,10-1746/TV,水利部发展研究中心,月刊,中文;英文,1959.0,工程科技II,水利水电工程,1.791,1.272,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
电瓷避雷器,1003-8337,61-1129/TM,中国西电集团有限公司,双月,中文,1958.0,工程科技II,电力工业,1.793,1.587,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
Journal of Central South University,2095-2899,43-1516/TB,中南大学,月刊,英文,1994.0,工程科技II,综合科技B类综合,1.802,1.263,True,False,False,False,False,False,False,False,False,True,True,False,SCI; EI; CSCD
机电工程,1001-4551,33-1088/TH,浙江省机电集团有限公司;浙江大学,月刊,中文,1971.0,工程科技II,机械工业,1.803,1.32,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
